start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
4050	4600	1	A	0.74	1	1	You.
6570	6982	2	B	1.0	1	2	Hello
7036	7206	2	B	1.0	2	3	and
7228	7702	2	B	0.99999	3	4	welcome.
7836	8226	3	B	0.99899	1	5	It's
8258	8674	3	B	1.0	2	6	September
8722	9234	3	B	0.99	3	7	18,
9282	9606	3	B	1.0	4	8	2023,
9628	11222	3	B	0.91	5	9	and
11276	11506	3	B	0.99983	6	10	it's
11538	11986	3	B	0.98344	7	11	active.
12018	12274	4	B	0.9953	1	12	Guest
12322	12850	4	B	0.99824	2	13	stream
12930	14166	4	B	0.96	3	14	57.1
14268	14630	4	B	0.99998	4	15	with
14700	15106	4	B	0.54798	5	16	Andy
15138	15826	4	B	0.99946	6	17	Keller.
15938	16178	5	B	0.99523	1	18	We're
16194	16326	5	B	0.8093	2	19	going
16348	16438	5	B	1.0	3	20	to
16444	16758	5	B	0.99996	4	21	be
16844	17142	5	B	1.0	5	22	talking
17196	17606	5	B	0.99999	6	23	about
17708	18274	5	B	0.99997	7	24	natural
18322	18898	5	B	0.99774	8	25	neural
18994	19570	5	B	0.58877	9	26	structure
19650	19846	5	B	0.99993	10	27	for
19868	20354	5	B	0.75511	11	28	artificial
20402	21250	5	B	0.69318	12	29	intelligence.
21410	21686	6	B	0.99995	1	30	There
21708	21846	6	B	0.6827	2	31	will
21868	22006	6	B	0.99996	3	32	be
22028	22166	6	B	1.0	4	33	a
22188	22770	6	B	0.99998	5	34	presentation
22850	23346	6	B	0.89559	6	35	followed
23378	23766	6	B	1.0	7	36	by
23868	24134	6	B	0.93	8	37	a
24172	24594	6	B	0.99999	9	38	discussion.
24642	24806	7	B	1.0	1	39	So
24828	24966	7	B	0.95581	2	40	if
24988	25186	7	B	0.99352	3	41	you're
25218	25510	7	B	0.70158	4	42	watching
25580	25862	7	B	1.0	5	43	live,
25916	26134	7	B	0.99998	6	44	please
26172	26326	7	B	0.99999	7	45	feel
26348	26534	7	B	0.99997	8	46	free
26572	26918	7	B	1.0	9	47	to
27004	27254	7	B	0.99993	10	48	write
27292	27542	7	B	0.99998	11	49	questions
27596	27718	7	B	0.99989	12	50	in
27724	27846	7	B	0.93	13	51	the
27868	28006	7	B	1.0	14	52	live
28028	28618	7	B	0.99988	15	53	chat.
28754	29322	8	B	0.99863	1	54	Otherwise,
29386	29614	8	B	0.99998	2	55	thank
29652	30046	8	B	1.0	3	56	you
30148	30554	8	B	0.97876	4	57	Andy,
30602	30766	8	B	0.99999	5	58	for
30788	31022	8	B	0.99937	6	59	this.
31076	31294	9	B	0.99991	1	60	Really
31332	31534	9	B	1.0	2	61	looking
31572	31774	9	B	1.0	3	62	forward
31812	31966	9	B	1.0	4	63	to
31988	32318	9	B	0.99771	5	64	it
32404	32654	9	B	1.0	6	65	and
32692	32846	9	B	1.0	7	66	to
32868	33054	9	B	1.0	8	67	you
33092	33246	9	B	0.99997	9	68	for
33268	33406	9	B	1.0	10	69	the
33428	34190	9	B	0.97132	11	70	presentation.
36370	36734	10	C	1.0	1	71	Yeah,
36772	36974	10	C	0.99965	2	72	thanks
37012	37166	10	C	1.0	3	73	so
37188	37854	10	C	0.99312	4	74	much.
38052	38414	11	C	0.99971	1	75	Thanks
38452	38606	11	C	0.99999	2	76	for
38628	38814	11	C	0.99998	3	77	having
38852	39006	11	C	1.0	4	78	me.
39028	39306	12	C	0.75594	1	79	I'm
39338	39582	12	C	0.99998	2	80	super
39636	39962	12	C	0.99979	3	81	excited
40026	40494	12	C	0.99	4	82	to
40612	40798	12	C	0.98275	5	83	be
40804	40926	12	C	0.99232	6	84	able
40948	41134	12	C	1.0	7	85	to
41172	41422	12	C	0.99997	8	86	present
41476	41646	12	C	0.99762	9	87	this
41668	41902	12	C	0.99831	10	88	stuff
41956	42282	12	C	0.90351	11	89	with
42356	42686	12	C	0.95806	12	90	Active
42718	43054	12	C	0.4354	13	91	Inference
43102	43314	12	C	0.99857	14	92	group.
43352	43950	13	C	0.80984	1	93	I'm
44110	44434	13	C	0.61	2	94	a
44472	44686	13	C	0.99984	3	95	fan
44718	44866	13	C	1.0	4	96	and
44888	45074	13	C	0.99993	5	97	very
45112	45458	13	C	0.8939	6	98	interested,
45544	45794	13	C	0.97	7	99	so.
45832	46530	14	A	0.96438	1	100	Hopefully.
48550	48866	15	C	0.98837	1	101	Get
48888	49026	15	C	1.0	2	102	to
49048	49138	15	C	0.99989	3	103	have
49144	49218	15	C	1.0	4	104	a
49224	49346	15	C	0.99974	5	105	good
49368	49726	15	C	0.99975	6	106	discussion
49758	49906	15	C	0.92	7	107	and
49928	50018	15	C	0.99986	8	108	see
50024	50146	15	C	0.56351	9	109	what
50168	50258	15	C	1.0	10	110	you
50264	50386	15	C	0.99962	11	111	guys
50408	50594	15	C	0.99996	12	112	think
50632	50834	15	C	0.99969	13	113	about
50872	51460	15	C	0.97005	14	114	it.
51990	52450	16	C	0.98	1	115	So
52520	52706	16	C	1.0	2	116	my
52728	52866	16	C	0.98	3	117	name
52888	53026	16	C	0.75082	4	118	is
53048	53470	16	C	0.89808	5	119	Andy.
53550	54078	17	C	0.73056	1	120	I'm
54174	54558	17	C	0.99998	2	121	finishing
54574	54706	17	C	0.9997	3	122	up
54728	54866	17	C	1.0	4	123	my
54888	55438	17	C	0.97289	5	124	PhD,
55534	56046	17	C	0.99801	6	125	supervised
56078	56226	17	C	0.99998	7	126	by
56248	56730	17	C	0.54481	8	127	Maxwelling
56750	56838	17	C	1.0	9	128	at
56844	56966	17	C	1.0	10	129	the
56988	57266	17	C	0.99987	11	130	University
57298	57398	17	C	1.0	12	131	of
57404	58310	17	C	0.7959	13	132	Amsterdam,
59130	59542	17	C	0.98956	14	133	starting
59596	59766	17	C	1.0	15	134	a
59788	60402	17	C	0.97078	16	135	postdoc
60466	60694	17	C	0.88	17	136	at
60732	61122	17	C	0.98682	18	137	Harvard
61186	61462	17	C	0.99984	19	138	after
61516	61926	17	C	0.99979	20	139	this.
62028	62774	18	C	0.91	1	140	So
62972	63346	18	C	0.99831	2	141	I'll
63378	63574	18	C	0.99989	3	142	start
63612	64246	18	C	0.98921	4	143	out
64428	64774	18	C	0.99919	5	144	just
