start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
4280	4830	1	A	0.34	1	1	You.
6480	7230	2	B	0.80855	1	2	Hello.
7600	8024	3	C	0.55743	1	3	It's
8072	8472	3	C	0.91	2	4	July
8536	9004	3	C	0.97	3	5	1,
9122	10524	3	C	0.97	4	6	2023.
10642	10936	4	C	0.67148	1	7	We're
10968	11164	4	C	0.99569	2	8	in
11202	11544	4	C	0.99966	3	9	Physics
11592	11804	4	C	0.99646	4	10	as
11842	12236	4	C	0.99981	5	11	Information
12338	13032	4	C	0.9616	6	12	processing
13096	13276	4	C	0.99714	7	13	in
13298	13532	4	C	0.94	8	14	the
13586	13900	4	C	1.0	9	15	second
13970	14840	4	C	0.99907	10	16	discussion.
15000	15516	5	C	0.98706	1	17	So
15618	15932	5	C	0.99964	2	18	thanks
15986	16252	5	C	0.9317	3	19	all
16306	16524	5	C	0.99993	4	20	for
16562	16856	5	C	0.9229	5	21	joining,
16888	16988	5	C	0.96	6	22	and
16994	17128	5	C	0.89451	7	23	we'll
17144	17324	5	C	0.99193	8	24	see
17362	17516	5	C	0.99995	9	25	who
17538	17964	5	C	0.99902	10	26	else
18082	18412	5	C	0.99994	11	27	comes
18466	18732	5	C	0.9996	12	28	in.
18786	18956	6	C	0.99917	1	29	If
18978	19176	6	C	0.99955	2	30	you're
19208	19452	6	C	0.99998	3	31	watching
19506	20012	6	C	0.95534	4	32	Live,
20146	20444	6	C	0.99998	5	33	feel
20482	20684	6	C	1.0	6	34	free
20722	20972	6	C	1.0	7	35	to
21026	21292	6	C	0.99755	8	36	write
21346	21708	6	C	0.99981	9	37	questions
21794	21996	6	C	0.93184	10	38	in
22018	22156	6	C	1.0	11	39	the
22178	22364	6	C	0.99971	12	40	Live
22402	22968	6	C	0.82751	13	41	chat
23064	23324	6	C	1.0	14	42	and
23362	23720	6	C	0.41899	15	43	I'll
23800	24184	6	C	0.81485	16	44	relay
24232	24444	6	C	0.99988	17	45	them
24482	25288	6	C	0.99189	18	46	onwards.
25464	25804	7	C	0.99871	1	47	So
25842	26584	7	C	0.43385	2	48	andre.
26712	27244	8	C	0.99995	1	49	Thanks.
27362	27932	9	C	1.0	1	50	And
28066	28316	9	C	0.56213	2	51	it
28338	28476	9	C	0.76359	3	52	would
28498	28708	9	C	0.99273	4	53	be
28754	29060	9	C	0.99952	5	54	awesome
29130	29460	9	C	1.0	6	55	to
29530	29764	9	C	0.99999	7	56	begin
29802	30004	9	C	0.9204	8	57	with
30042	30148	9	C	1.0	9	58	a
30154	30324	9	C	0.99996	10	59	little
30362	30516	9	C	1.0	11	60	bit
30538	30772	9	C	0.99	12	61	of
30826	31044	9	C	0.99994	13	62	some
31082	31472	9	C	0.97462	14	63	overview
31536	31716	9	C	1.0	15	64	and
31738	31924	9	C	0.99999	16	65	some
31962	32212	9	C	0.99997	17	66	points
32266	32388	9	C	0.99999	18	67	that
32394	32516	9	C	1.0	19	68	you
32538	32724	9	C	0.99984	20	69	wanted
32762	32916	9	C	1.0	21	70	to
32938	33124	9	C	0.99998	22	71	get
33162	33750	9	C	1.0	23	72	to.
34840	35204	10	A	0.99675	1	73	Yeah.
35242	35396	11	A	0.9999	1	74	Thank
35418	35556	11	A	1.0	2	75	you,
35578	36340	11	A	0.95077	3	76	Daniel.
37000	37316	12	A	0.98346	1	77	So,
37338	37476	12	A	0.71413	2	78	good
37498	37780	12	A	0.79322	3	79	morning,
37850	38420	12	A	0.99998	4	80	everyone.
38570	38836	13	A	0.72681	1	81	So
38858	38996	13	A	0.82559	2	82	if
39018	39252	13	A	0.85	3	83	you
39306	39572	13	A	0.87999	4	84	would
39626	40230	13	A	0.99946	5	85	start
44220	44584	13	A	0.6042	6	86	what
44622	45012	13	A	0.91834	7	87	Chris
45076	45492	13	A	0.94951	8	88	spoke
45556	46120	13	A	0.51068	9	89	about
46270	46632	13	A	0.9996	10	90	last
46686	47290	13	A	0.99988	11	91	time.
49180	49496	14	A	0.52	1	92	I
49518	49656	14	A	0.96941	2	93	have
49678	49768	14	A	1.0	3	94	a
49774	49944	14	A	0.99995	4	95	few
49982	50324	14	A	0.99966	5	96	slides
50372	50488	14	A	0.99892	6	97	that
50494	50616	14	A	1.0	7	98	I
50638	50996	14	A	0.99897	8	99	singled
51028	51610	14	A	0.99997	9	100	out.
52940	53304	15	A	0.83095	1	101	So
53342	53496	15	A	0.99976	2	102	now
53518	53872	15	A	0.60606	3	103	we're
53956	54252	15	A	0.71847	4	104	getting
54306	54910	15	A	1.0	5	105	to
57040	57816	15	A	0.42542	6	106	reformulation
57848	57948	15	A	1.0	7	107	of
57954	58296	15	A	0.55519	8	108	quantum
58328	58616	15	A	0.99909	9	109	theory
58648	58748	15	A	0.99055	10	110	in
58754	58924	15	A	0.9924	11	111	terms
58962	59548	15	A	0.93	12	112	of
59714	60424	15	A	0.9297	13	113	reformulation
60472	61070	15	A	0.57	14	114	of
63600	64152	15	A	0.56122	15	115	opposed
64216	64924	15	A	1.0	16	116	to
65122	65864	15	A	0.84068	17	117	dynamical
65912	66620	15	A	0.98699	18	118	theory.
67540	68290	16	A	1.0	1	119	And
69060	69424	16	A	0.99998	2	120	as
69462	69676	16	A	0.9899	3	121	we've
69708	69904	16	A	0.99619	4	122	talked
69942	70096	16	A	0.93462	5	123	in
70118	70364	16	A	0.85139	6	124	previous
70412	70684	16	A	0.99921	7	125	sessions,
70732	70848	16	A	0.99999	8	126	we
70854	70976	16	A	0.99627	9	127	need
70998	71568	16	A	0.97	10	128	to
71734	72064	16	A	0.87987	11	129	think
72102	72208	16	A	1.0	12	130	a
72214	72336	16	A	0.99997	13	131	little
72358	72496	16	A	0.99995	14	132	bit
72518	73260	16	A	0.81475	15	133	philosophically
73340	73824	16	A	0.69879	16	134	about
73942	74176	16	A	0.48963	17	135	what
74198	74336	16	A	1.0	18	136	the
74358	74780	16	A	0.86084	19	137	ontology
74860	75152	16	A	0.99	20	138	of
75206	75724	16	A	0.99956	21	139	measurement
75772	76720	16	A	0.97291	22	140	entails.
77940	78304	17	A	0.9989	1	141	So
78342	78696	17	A	0.87813	2	142	Chris
78748	79204	17	A	0.59715	3	143	last
79322	79744	17	A	0.9971	4	144	lecture
79792	80148	17	A	0.99861	5	145	started
80234	80580	17	A	0.99999	6	146	with
80650	80884	17	A	0.99982	7	147	these
80922	81220	17	A	0.93	8	148	three
81290	81664	17	A	0.9994	9	149	basic
81712	82580	17	A	0.66546	10	150	ingredients.
84920	85332	18	A	0.55028	1	151	So
85386	85556	18	A	0.95562	2	152	an
85578	86260	18	A	0.70084	3	153	action
87880	88740	18	A	0.97745	4	154	that's,
89080	89492	18	A	0.99998	5	155	number
89546	89908	18	A	1.0	6	156	one,
89994	90196	18	A	0.95	7	157	a
90218	90356	18	A	0.99136	8	158	thing
90378	90516	18	A	0.97	9	159	to
90538	90772	18	A	0.90655	10	160	ask
90826	91524	18	A	0.93665	11	161	about.
91722	92084	19	A	0.99997	1	162	This
92122	92516	19	A	0.99999	2	163	is
92618	92836	19	A	1.0	3	164	the
92858	93488	19	A	0.85533	4	165	qubit,
93584	93856	19	A	1.0	5	166	the
93898	94244	19	A	0.99999	6	167	physical
94292	94596	19	A	0.72459	7	168	degrees
94628	94776	19	A	1.0	8	169	of
94798	95124	19	A	0.99995	9	170	freedom
95172	95336	19	A	1.0	10	171	that
95358	95496	19	A	0.99999	11	172	we
95518	95656	19	A	0.99998	12	173	need
95678	96008	19	A	1.0	13	174	to
96094	96548	19	A	0.5215	14	175	perturb
96564	96696	19	A	0.99963	15	176	in
96718	96856	19	A	0.99997	16	177	some
96878	97112	19	A	0.95965	17	178	way
97166	97384	19	A	1.0	18	179	to
97422	97624	19	A	0.99998	19	180	ask
97662	97816	19	A	1.0	20	181	a
97838	98410	19	A	0.99999	21	182	question.
98780	99096	20	A	1.0	1	183	And
99118	99304	20	A	0.9896	2	184	then
99342	99736	20	A	0.99999	3	185	finally,
99838	100056	20	A	0.73	4	186	a
100078	100740	20	A	0.96986	5	187	semantics,
100820	101016	20	A	1.0	6	188	a
101038	101636	20	A	0.99792	7	189	language
101748	102072	20	A	0.5017	8	190	that
102126	102296	20	A	0.99256	9	191	makes
102318	102600	20	A	0.78946	10	192	sense,
102670	102904	20	A	0.73	11	193	a
102942	103284	20	A	0.91967	12	194	context
103332	103544	20	A	0.99997	13	195	that
103582	103748	20	A	0.994	14	196	makes
103774	103964	20	A	0.99979	15	197	sense
104002	104588	20	A	0.93	16	198	of
104754	105036	20	A	0.99986	17	199	that
105058	105388	20	A	0.96265	18	200	information
105474	105628	20	A	1.0	19	201	that
105634	105756	20	A	0.99995	20	202	we
105778	106380	20	A	0.73554	21	203	gather.
108960	109710	21	A	0.56845	1	204	So
111280	111596	21	A	1.0	2	205	I
111618	111804	21	A	0.99983	3	206	should
111842	112044	21	A	0.99997	4	207	say,
112082	112332	21	A	0.99954	5	208	number
112386	112990	21	A	0.99	6	209	one,
113360	113676	21	A	0.57	7	210	I
113698	113884	21	A	0.9999	8	211	came
113922	114028	21	A	0.99998	9	212	up
114034	114156	21	A	0.98582	10	213	in
114178	114316	21	A	1.0	11	214	the
114338	114812	21	A	1.0	12	215	first
114946	115676	21	A	0.56716	13	216	question
115858	116590	21	A	0.88391	14	217	when
117700	117968	21	A	1.0	15	218	I
117974	118156	21	A	0.95422	16	219	can't
118188	118480	21	A	0.99999	17	220	exactly
118550	118928	21	A	1.0	18	221	remember.
119014	119360	22	A	0.99999	1	222	But
119430	119568	22	A	1.0	2	223	at
119574	119744	22	A	0.98045	3	224	some
119782	119936	22	A	1.0	4	225	point,
119958	120096	22	A	0.99999	5	226	we
120118	120256	22	A	0.9992	6	227	talked
120278	120512	22	A	0.85169	7	228	about
120566	120736	22	A	0.99999	8	229	what
120758	121328	22	A	0.99988	9	230	is
121494	122210	22	A	0.99934	10	231	information?
122820	123136	23	A	0.99	1	232	And
123158	123392	23	A	0.5428	2	233	we
123446	123664	23	A	0.99998	3	234	came
123702	123904	23	A	0.99997	4	235	up
123942	124530	23	A	0.99993	5	236	with
125460	125920	23	A	0.99529	6	237	or
125990	126610	23	A	0.99919	7	238	we
126980	127436	23	A	0.67267	8	239	brought
127468	127808	23	A	0.89911	9	240	up
127894	128144	23	A	0.82	10	241	a
128182	128828	23	A	0.99908	11	242	definition
128924	129148	23	A	0.99999	12	243	that
129174	129364	23	A	0.99456	13	244	goes
129402	129604	23	A	0.99973	14	245	something
129642	129796	23	A	0.99999	15	246	like
129818	129956	23	A	1.0	16	247	this.
129978	130128	24	A	0.96136	1	248	It's
130144	130228	24	A	0.91	2	249	a
130234	130404	24	A	0.99811	3	250	nice
130442	130784	24	A	0.37866	4	251	adash.
130832	131520	25	A	0.99702	1	252	It's
131680	132704	25	A	0.99917	2	253	differences
132832	133124	25	A	0.99999	3	254	that
133162	133364	25	A	0.99977	4	255	make
133402	133508	25	A	1.0	5	256	a
133514	133828	25	A	1.0	6	257	difference.
133914	134116	26	A	0.47647	1	258	This
134138	134710	26	A	0.99508	2	259	is
135800	136256	26	A	0.99925	3	260	chris
136288	136436	26	A	0.9999	4	261	told
136458	136596	26	A	1.0	5	262	me
136618	136708	26	A	1.0	6	263	I
136714	136848	26	A	0.94885	7	264	can't
136864	137428	26	A	0.99999	8	265	remember
137594	137924	26	A	0.99999	9	266	who
137962	138212	26	A	1.0	10	267	first
138266	138576	26	A	0.96524	11	268	coined
138608	139188	26	A	0.99976	12	269	this
139354	139792	26	A	0.63737	13	270	dash,
139856	140036	26	A	0.99999	14	271	but
140058	140148	26	A	1.0	15	272	I
140154	140612	26	A	1.0	16	273	think
