start	end	speaker	wconfidence	text
4230	4780	A	0.61	You.
7390	7802	B	0.76166	Hello
7856	8026	B	1.0	and
8048	8474	B	0.96473	welcome,
8592	9306	B	0.99999	everyone.
9488	9786	B	1.0	This
9808	9994	B	0.99998	is
10032	10422	B	0.99577	physics.
10486	10666	B	0.99764	As
10688	11066	B	0.99896	information
11168	11862	B	0.99995	processing
11926	12374	B	0.67019	session
12422	12874	B	1.0	four
12992	13322	B	1.0	on
13376	14022	B	0.99951	communicating
14086	14806	B	0.99848	observers.
14918	15350	B	0.64155	It's
15430	15626	B	1.0	the
15648	15978	B	1.0	10
15984	16374	B	1.0	August
16422	17740	B	1.0	2023.
18110	18710	B	0.99775	Chris
18790	19082	B	0.99999	looking
19136	19402	B	0.99997	forward
19456	19626	B	1.0	to
19648	19882	B	0.99999	this
19936	20390	B	0.70226	lecture.
20470	20714	B	0.59	Off
20752	20954	B	0.78	to
20992	21580	B	1.0	you.
23470	23786	A	0.99997	Thank
23808	23994	A	0.63	you,
24032	24550	A	0.97944	Daniel,
24630	25114	A	1.0	and
25232	25610	A	0.74095	welcome
25680	25866	A	1.0	to
25888	26074	A	0.99999	this
26112	26810	A	0.99983	session.
27310	27674	A	0.99987	As
27712	28054	A	0.99781	Daniel
28102	28314	A	0.99991	said,
28352	28506	A	0.70423	this
28528	28666	A	0.9972	is
28688	28898	A	0.87	about
28944	29202	A	0.57	out
29256	29934	A	0.863	communicating
29982	30734	A	0.95545	observers.
30862	31250	A	1.0	And
31320	31726	A	0.99768	fasten
31758	31954	A	1.0	your
31992	32654	A	0.88327	seatbelts
32702	32914	A	0.98618	because
32952	33106	A	0.99996	we
33128	33266	A	0.99999	have
33288	33378	A	1.0	a
33384	33554	A	0.99999	lot
33592	33746	A	1.0	to
33768	34146	A	0.99999	cover
34248	34418	A	0.99901	in
34424	34546	A	0.99	the
34568	34850	A	0.99989	next
34920	35540	A	1.0	hour.
36870	37330	A	0.99104	So
37400	37586	A	0.99997	just
37608	37794	A	0.65	to
37832	38034	A	0.99996	do
38072	38226	A	1.0	a
38248	38530	A	1.0	quick
38600	39170	A	0.99999	review.
39320	39694	A	0.8619	We've
39742	39954	A	0.99996	been
39992	40290	A	0.99997	talking
40360	40980	A	1.0	about
41450	42034	A	0.6904	quantum
42082	42534	A	0.99995	information
42652	43410	A	0.9974	theory
43570	43894	A	1.0	and
43932	44226	A	0.99903	we've
44258	44406	A	0.99998	been
44428	44710	A	0.99993	talking
44780	45014	A	1.0	about
45052	45206	A	1.0	it
45228	45366	A	0.9999	in
45388	45574	A	1.0	the
45612	46082	A	0.99248	simplest
46146	46614	A	1.0	possible
46732	47590	A	0.99658	setting
48090	48840	A	0.99	of
49370	49878	A	1.0	two
49964	50482	A	0.61	systems,
50546	50866	A	0.99604	Alice
50898	51046	A	1.0	and
51068	51730	A	0.99979	Bob,
51890	52358	A	0.99971	that
52444	53138	A	0.99796	exchange
53234	53794	A	0.99995	information
53932	54186	A	0.99715	through
54208	54442	A	0.79	their
54496	54950	A	0.99961	mutual
55030	55850	A	0.90694	boundary.
56350	56810	A	1.0	And
56880	57126	A	0.98176	we've
57158	57478	A	0.99956	assumed
57494	57674	A	0.99995	that
57712	58202	A	0.99997	everything
58336	58730	A	0.99986	is
58800	59302	A	0.85584	finite
59366	60118	A	0.88223	dimensional.
60214	60426	A	0.99928	So
60448	60586	A	0.99991	we
60608	60854	A	0.99412	don't
60902	61066	A	1.0	need
61088	61226	A	1.0	to
61248	61494	A	0.99987	worry
