start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
250	462	1	A	0.63	1	1	Of
516	1070	1	A	0.51634	2	2	these
1220	1920	1	A	0.99981	3	3	questions.
3410	3726	2	A	1.0	1	4	I
3748	3934	2	A	0.99993	2	5	think
3972	4126	2	A	0.99995	3	6	we
4148	4334	2	A	0.99997	4	7	talked
4372	4670	2	A	0.74352	5	8	about
4740	5022	2	A	0.91	6	9	the
5076	5390	2	A	0.96	7	10	oh,
5460	5646	2	A	1.0	8	11	this
5668	5806	2	A	0.62315	9	12	is
5828	6106	2	A	0.99966	10	13	chapter
6138	6720	2	A	0.74	11	14	two.
7650	8026	3	A	0.99781	1	15	Let's
8058	8206	3	A	1.0	2	16	go
8228	8366	3	A	1.0	3	17	to
8388	8714	3	A	0.99992	4	18	chapter
8762	9360	3	A	1.0	5	19	four.
10370	11120	4	A	0.99684	1	20	Okay,
12850	13454	4	A	0.99747	2	21	so
13572	13854	4	A	0.99996	3	22	we
13892	14094	4	A	0.99998	4	23	talked
14132	14478	4	A	0.78471	5	24	about
14564	15178	4	A	0.858	6	25	belief,
15274	16014	4	A	0.99933	7	26	policy,
16212	16960	4	A	0.57548	8	27	state.
17810	18218	5	A	0.96975	1	28	I'm
18234	18366	5	A	0.99989	2	29	not
18388	18478	5	A	1.0	3	30	sure
18484	18606	5	A	0.65884	4	31	if
18628	18766	5	A	0.99915	5	32	we
18788	18974	5	A	0.99992	6	33	talked
19012	19214	5	A	1.0	7	34	about
19252	19598	5	A	1.0	8	35	this
19684	20320	5	A	0.99993	9	36	question.
21730	22046	6	A	0.99987	1	37	In
22068	22254	6	A	1.0	2	38	the
22292	22714	6	A	0.7744	3	39	discussion
22762	22926	6	A	1.0	4	40	of
22948	23306	6	A	0.99519	5	41	active
23338	23882	6	A	0.99412	6	42	inference
23946	24270	6	A	0.56721	7	43	in
24340	25058	6	A	0.59646	8	44	POMDP
25114	25766	6	A	0.88	9	45	t
25948	26514	6	A	0.78839	10	46	belief
26562	26962	6	A	0.86706	11	47	updating
27026	27254	6	A	0.99998	12	48	about
27292	27714	6	A	0.99966	13	49	policies,
27762	27926	6	A	0.99719	14	50	we
27948	28134	6	A	0.99688	15	51	find
28172	28326	6	A	0.99985	16	52	that
28348	28438	6	A	1.0	17	53	the
28444	29042	6	A	0.56496	18	54	posterior
29106	29286	6	A	0.9997	19	55	that
29308	29826	6	A	0.99856	20	56	minimizes
29858	30006	6	A	1.0	21	57	the
30028	30214	6	A	1.0	22	58	free
30252	30598	6	A	1.0	23	59	energy
30684	30886	6	A	0.99927	24	60	does
30908	31046	6	A	0.87	25	61	the
31068	31730	6	A	0.87644	26	62	posterior
31810	32054	6	A	1.0	27	63	at
32092	32294	6	A	1.0	28	64	time
32332	32630	6	A	0.7	29	65	t.
