start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
170	720	1	A	0.70226	1	1	You.
6850	7214	2	B	0.99799	1	2	Hello
7252	7406	2	B	0.99	2	3	and
7428	7854	2	B	0.92346	3	4	welcome.
7972	8206	3	B	0.99992	1	5	This
8228	8462	3	B	0.99994	2	6	is
8516	9066	3	B	0.51783	3	7	active
9098	9306	3	B	0.9939	4	8	guest
9338	9534	3	B	0.98191	5	9	room
9572	10462	3	B	0.99	6	10	52.1.
10516	10782	4	B	0.76258	1	11	On
10836	11194	4	B	0.69	2	12	August
11242	11626	4	B	0.52	3	13	10,
11658	12846	4	B	1.0	4	14	2023,
12948	13214	4	B	0.99991	5	15	we
13252	13406	4	B	0.99999	6	16	have
13428	13754	4	B	0.65822	7	17	Ahmed
13802	14394	4	B	0.22102	8	18	Elsaid,
14442	14986	4	B	0.87603	9	19	Alexander
15018	15594	4	B	0.46674	10	20	Arorbia
15642	15806	4	B	1.0	11	21	and
15828	16234	4	B	0.99975	12	22	Travis
16282	17070	4	B	0.51732	13	23	Desel.
17410	17962	5	B	0.57125	1	24	Ahmed
18026	18206	5	B	0.55077	2	25	is
18228	18366	5	B	0.99998	3	26	going
18388	18574	5	B	1.0	4	27	to
18612	18814	5	B	0.99998	5	28	give
18852	18958	5	B	1.0	6	29	a
18964	19802	5	B	0.52968	7	30	presentation
19946	20398	5	B	1.0	8	31	and
20484	21002	5	B	0.93104	9	32	following
21066	21198	5	B	0.9878	10	33	we
21204	21374	5	B	0.77453	11	34	will
21412	21614	5	B	0.99999	12	35	have
21652	21854	5	B	0.99998	13	36	some
21892	22570	5	B	0.99908	14	37	reflections
22650	22942	5	B	1.0	15	38	and
22996	23562	5	B	0.98337	16	39	discussions.
23626	23902	6	B	0.99976	1	40	So
23956	24174	6	B	0.99989	2	41	thank
24212	24366	6	B	0.9999	3	42	you
24388	24574	6	B	0.99985	4	43	all
24612	25126	6	B	0.99712	5	44	for
25268	25874	6	B	0.99076	6	45	joining
25922	26134	6	B	1.0	7	46	and
26172	26514	6	B	0.97333	8	47	Ahmed
26562	26726	6	B	1.0	9	48	to
26748	26886	6	B	0.99978	10	49	you
26908	27046	6	B	0.99998	11	50	for
27068	27254	6	B	1.0	12	51	the
27292	28150	6	B	0.99909	13	52	presentation.
30490	31238	7	A	0.71364	1	53	Okay,
31404	31926	7	A	0.99973	2	54	thanks
32028	32294	7	A	0.99091	3	55	so
32332	32486	7	A	0.99998	4	56	much
32508	32646	7	A	0.99997	5	57	for
32668	32902	7	A	0.99999	6	58	having
32956	33560	7	A	0.99789	7	59	me.
