start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
32290	32922	1	A	0.11085	1	1	Subscribe
33106	33502	1	A	0.99676	2	2	hello
33556	33726	1	A	1.0	3	3	and
33748	34174	1	A	0.99995	4	4	welcome
34292	35054	1	A	0.68259	5	5	everyone.
35252	35662	2	A	0.99992	1	6	This
35716	36078	2	A	0.99974	2	7	is
36164	36842	2	A	0.67915	3	8	ActInf
36906	37434	2	A	0.59171	4	9	Livestream,
37482	37790	2	A	0.95617	5	10	number
37860	40062	2	A	0.92	6	11	51.28,
40116	40474	2	A	0.99	7	12	November
40522	40922	2	A	0.69	8	13	9,
40986	42480	2	A	0.97	9	14	2022.
43250	43758	3	A	0.98553	1	15	Welcome
43844	44142	3	A	1.0	2	16	to
44196	44366	3	A	1.0	3	17	the
44388	44746	3	A	0.84232	4	18	active
44778	45146	3	A	0.98112	5	19	inference
45178	45978	3	A	0.99442	6	20	institute.
46154	46538	4	A	0.85978	1	21	We're
46554	46638	4	A	0.98	2	22	a
46644	47562	4	A	0.60983	3	23	participatory
47626	48094	4	A	0.99888	4	24	online
48212	48858	4	A	0.98732	5	25	institute
48954	49166	4	A	0.99976	6	26	that
49188	49374	4	A	0.53179	7	27	is
49412	50090	4	A	0.99981	8	28	communicating,
50170	50558	4	A	0.99554	9	29	learning,
50644	50894	4	A	1.0	10	30	and
50932	51722	4	A	0.56023	11	31	practicing
51866	52346	4	A	0.93893	12	32	applied
52378	52666	4	A	0.92843	13	33	active
52698	53498	4	A	0.89589	14	34	inference.
53674	54014	5	A	0.73626	1	35	This
54052	54302	5	A	0.92234	2	36	is
54356	54526	5	A	0.99	3	37	a
54548	54926	5	A	0.99962	4	38	recorded
55028	55246	5	A	0.99	5	39	and
55268	55454	5	A	0.91352	6	40	an
55492	55946	5	A	0.81053	7	41	archived
55978	56174	5	A	0.58192	8	42	live
56212	56794	5	A	0.99389	9	43	stream,
56922	57214	5	A	0.97931	10	44	so
57252	57526	5	A	0.99756	11	45	please
57588	57814	5	A	0.99971	12	46	provide
57852	58006	5	A	1.0	13	47	us
58028	58578	5	A	0.93832	14	48	feedback
58674	58934	5	A	0.99999	15	49	so
58972	59126	5	A	0.99997	16	50	we
59148	59334	5	A	0.99973	17	51	can
59372	59666	5	A	0.96133	18	52	improve
