start	end	speaker	confidence	paragNum	paragWordCount	wordPos	text
1450	1710	A	0.99999	1	1	1	Hello
1780	2302	A	0.99999	1	2	2	everyone.
2436	2970	A	0.95816	1	3	3	It's
3050	3386	A	0.98	1	4	4	June
3418	3950	A	0.79	1	5	5	23,
4020	5102	A	0.96	1	6	6	2022
5236	5630	A	1.0	1	7	7	and
5700	5934	A	0.99993	1	8	8	we
5972	6462	A	0.99721	1	9	9	are
6596	7038	A	0.67834	1	10	10	in
7124	7470	A	0.9949	1	11	11	week
7540	8160	A	0.51	1	12	12	eight
8530	8942	A	1.0	1	13	13	of
8996	9262	A	1.0	1	14	14	the
9316	9898	A	0.95354	1	15	15	textbook
9994	10446	A	0.99977	1	16	16	group
10548	11210	A	0.74648	1	17	17	cohort
11290	11920	A	0.99	1	18	18	one.
12690	13498	A	0.68526	1	19	19	We're
13674	14158	A	0.99996	1	20	20	starting
14244	14714	A	0.99982	1	21	21	chapter
14762	15360	A	1.0	1	22	22	four
15730	16094	A	1.0	1	23	23	and
16132	16298	A	0.98766	1	24	24	we'll
16314	16446	A	0.99971	1	25	25	be
16468	16858	A	0.99882	1	26	26	continuing
16874	17006	A	0.95013	1	27	27	with
17028	17386	A	0.99988	1	28	28	chapter
17418	17950	A	1.0	1	29	29	four
18100	18462	A	0.9999	1	30	30	next
18516	19120	A	0.99994	1	31	31	week.
20370	20794	A	0.64235	1	32	32	We're
20842	21006	A	1.0	1	33	33	more
21028	21214	A	0.99836	1	34	34	than
21252	22106	A	0.9275	1	35	35	halfway
22298	23040	A	0.99962	1	36	36	done
23490	23854	A	0.99547	1	37	37	with
23892	24046	A	0.73	1	38	38	the
24068	24640	A	0.51746	1	39	39	time
25130	25494	A	0.97	1	40	40	and
25532	25782	A	0.70266	1	41	41	with
25836	26294	A	1.0	1	42	42	the
26412	26962	A	0.98178	1	43	43	chapters
27026	27206	A	1.0	1	44	44	that
27228	27426	A	0.9555	1	45	45	we're
27458	27702	A	0.95513	1	46	46	going
